Designator,Mid X,Mid Y,Rotation,Layer
C1,82.25,-138.8,90.0,top
C2,85.6,-138.8,90.0,top
C3,89.0,-138.8,90.0,top
C4,85.6,-153.5375,90.0,top
C5,93.1,-154.2,180.0,top
D1,111.275,-155.02,0.0,top
D2,111.275,-158.06,0.0,top
D3,111.275,-161.1,0.0,top
J1,97.21,-166.605,0.0,top
J2,76.1,-147.6,0.0,top
J3,121.2,-152.2,0.0,top
R1,100.4875,-158.9,0.0,top
R2,116.5625,-155.28,0.0,top
R3,116.5625,-157.79,0.0,top
R4,116.5625,-160.3,0.0,top
R5,93.1875,-158.6,0.0,top
SW1,110.75,-169.225,0.0,top
SW2,86.25,-163.275,180.0,top
U1,102.925,-137.3,0.0,top
U2,85.7,-146.5375,270.0,top
